0,1,2,3,4,5,6
,3,4,5,3,4,5
Myxococcus xanthus,3,0.05,61.25,4,,
Myxococcus xanthus,3,0.15,42.6,5,,
Myxococcus xanthus,3,0.25,24,4,,
Myxococcus xanthus,3,0.35,24,1,,
Myxococcus xanthus,3,0.45,11,1,,
Myxococcus xanthus,3,0.55,5,1,,
Myxococcus xanthus,4,0.05,48,3,,
Myxococcus xanthus,4,0.15,44.67,3,,
Myxococcus xanthus,4,0.25,15,4,,
Myxococcus xanthus,4,0.35,13,1,,
Myxococcus xanthus,4,0.45,5,1,,
Myxococcus xanthus,4,0.55,0,0,,
Myxococcus xanthus,5,0.05,38,2,,
Myxococcus xanthus,5,0.15,38,2,,
Myxococcus xanthus,5,0.25,24,1,,
Myxococcus xanthus,5,0.35,0,0,,
Myxococcus xanthus,5,0.45,0,0,,
Myxococcus xanthus,5,0.55,0,0,,
Treponema denticola,3,0.05,199.8,5,,
Treponema denticola,3,0.15,59.7,10,,
Treponema denticola,3,0.25,21.36,11,,
Treponema denticola,3,0.35,10.71,7,,
Treponema denticola,3,0.45,13,2,,
Treponema denticola,3,0.55,3,1,,
Treponema denticola,4,0.05,45,6,,
Treponema denticola,4,0.15,15.57,14,,
Treponema denticola,4,0.25,9.44,9,,
Treponema denticola,4,0.35,6.5,4,,
Treponema denticola,4,0.45,0,0,,
Treponema denticola,4,0.55,0,0,,
Treponema denticola,5,0.05,16,4,,
Treponema denticola,5,0.15,11.8,5,,
Treponema denticola,5,0.25,6.5,2,,
Treponema denticola,5,0.35,0,0,,
Treponema denticola,5,0.45,0,0,,
Treponema denticola,5,0.55,0,0,,
