ENTITYA	IDA	ENTITYB	IDB	SCORE
Adora2b	P29276	GNAI1	P10824	0.209
Adora2b	P29276	GNAS	Q63803	0.44
EPHA2	D3ZBN3	Cldn4	Q5XIT8	0.4
EPHA2	D3ZBN3	EPHA2	D3ZBN3	0.1
EPHA2	D3ZBN3	EPHA2	D3ZBN3	0.1
EPHA3	O08680	SRC	Q9WUD9	0.481
EPHA3	O08680	CRK	Q63768	0.596
EPHB2	F1MAJ0	Arhgef15	D3ZPJ8	0.385
EPHB2	F1MAJ0	RRAS	D3Z8L7	0.571
EPHB2	F1MAJ0	Nrcam	P97686	0.191
PTPN6	P81718	SOCS1	Q9QX78	0.216
PTPN6	P81718	NFAT5	D3ZGB1	0.289
PTPN6	P81718	EGFR	G3V6K6	0.353
PTPN6	P81718	INSR	P15127	0.316
PTPN6	P81718	INSR	P15127	0.316
PTPN6	P81718	INSR	P15127	0.316
PTPN6	P81718	INSR	P15127	0.316
PTPN6	P81718	SRC	Q9WUD9	0.456
PTPN6	P81718	IL2RB	P26896	0.491
PTPN6	P81718	CD72	Q5BK59	0.567
PTPN6	P81718	JAK1	G3V9W2	0.6
PTPN6	P81718	TYK2	D3ZD03	0.567
PTPN6	P81718	KDR	O08775	0.614
PTPN6	P81718	STAT3	P52631	0.338
PTPN6	P81718	STAT6	Q1KQ07	0.574
PTPN6	P81718	SYK	Q64725	0.676
PTPN6	P81718	ACTG1	P63259	0.1
PTPN6	P81718	KCNH2	O08962	0.1
PTPN6	P81718	CASP8	Q9JHX4	0.298
PTPN6	P81718	CASP8	Q9JHX4	0.298
SHC1	Q5M824	MAPK3	P21708	0.517
SHC1	Q5M824	MAPK1	P63086	0.646
SHC1	Q5M824	GRB2	P62994	0.963
SHC1	Q5M824	GRB2	P62994	0.963
SHC1	Q5M824	GRB2	P62994	0.963
SHC1	Q5M824	GRB2	P62994	0.963
SHC1	Q5M824	SOS1	D4A3T0	0.706
SHC1	Q5M824	GRAP	Q4KM68	0.463
SHC1	Q5M824	INPP5D	P97573	0.653
SHC1	Q5M824	ERK1/2	SIGNOR-PF1	0.652
Tacr3	P16177	Gna14	Q5EAP4	0.359
Tacr3	P16177	GNAI3	P08753	0.1
Tacr3	P16177	Gnal	P38406	0.1
Tacr3	P16177	GNAQ	P82471	0.379
Tacr3	P16177	GNAI1	P10824	0.1
Tacr3	P16177	GNA12	Q63210	0.183
Tacr3	P16177	GNA13	F1LNG7	0.183
Tacr3	P16177	GNAS	Q63803	0.1
IL12A	Q9R103	IFNG	P01581	0.237
IL12A	Q9R103	IFNG	P01581	0.237
IL12A	Q9R103	IL12B	E9PU71	0.843
IL12A	Q9R103	IL12RB1	E9PSU7	0.524
IL12A	Q9R103	IL12RB2	F1LRH7	0.529
IL12B	E9PU71	IL12RB1	E9PSU7	0.61
CASP1	P43527	PSEN1	P97887	0.312
CASP1	P43527	PSEN2	O88777	0.258
CASP1	P43527	AIM2 inflammasome	SIGNOR-C222	0.717
CASP1	P43527	NLRC4 inflammasome	SIGNOR-C223	0.624
CASP1	P43527	NLRP1 inflammasome	SIGNOR-C224	0.726
CASP1	P43527	NLRP3 inflammasome	SIGNOR-C225	0.667
TYK2	D3ZD03	STAT1	F1M9D6	0.695
CASP1	P43527	Pyrin inflammasome	SIGNOR-C226	0.642
NOS1	P29476	HDAC2	F7ENH8	0.154
NOS1	P29476	DGC	SIGNOR-C217	0.266
PML	F1M589	ZFYVE9	D3ZDC7	0.521
PML	F1M589	SMAD3	P84025	0.495
PML	F1M589	SMAD3	P84025	0.495
PML	F1M589	SMAD2	O70436	0.497
PML	F1M589	SMAD2	O70436	0.497
PML	F1M589	KAT6A/PML	SIGNOR-C55	0.47
TYK2	D3ZD03	IFNAR1	D3ZDS9	0.895
TYK2	D3ZD03	IFNAR1	D3ZDS9	0.895
TYK2	D3ZD03	TYK2	D3ZD03	0.1
TYK2	D3ZD03	TYK2	D3ZD03	0.1
TYK2	D3ZD03	STAT3	P52631	0.573
TYK2	D3ZD03	STAT3	P52631	0.573
TYK2	D3ZD03	DUSP3	G3V9L3	0.178
TYK2	D3ZD03	ISGF3 complex	SIGNOR-C124	0.636
EEF1D	Q68FR9	ITGA7	Q63258	0.1
CD40LG	Q9Z2V2	Igsf6	Q9Z0K5	0.204
CD40LG	Q9Z2V2	CD40	Q4QQW2	0.91
CD40LG	Q9Z2V2	CD40	Q4QQW2	0.91
CD40LG	Q9Z2V2	PTPN7	P49445	0.1
Gchfr	P70552	Gch1	P22288	0.849
RPL12	P23358	60S cytosolic large ribosomal subunit	SIGNOR-C287	0.89
PPP2R1A	Q5XI34	PPP2CB	P62716	0.899
PPP2R1A	Q5XI34	PPP2CA	P63331	0.962
PPP2R1A	Q5XI34	SGO1	D4A624	0.1
PPP2R1A	Q5XI34	PP2CA_R1A_R2A	SIGNOR-C132	0.929
