ENTITYA	IDA	ENTITYB	IDB	SCORE
Elavl2	Q60899	Adam10	O35598	0.1
TRAF2	P39429	UBE2N	P61089	0.377
TRAF2	P39429	MAP4K2	Q61161	0.493
TRAF2	P39429	BIRC3	O08863	0.899
TRAF2	P39429	BIRC3	O08863	0.899
TRAF2	P39429	BIRC3	O08863	0.899
TRAF2	P39429	BIRC2	Q62210	0.866
TRAF2	P39429	BIRC2	Q62210	0.866
TRAF2	P39429	RIPK1	Q60855	0.905
TRAF2	P39429	RIPK1	Q60855	0.905
TRAF2	P39429	RIPK1	Q60855	0.905
TRAF2	P39429	RIPK1	Q60855	0.905
TRAF2	P39429	RIPK1	Q60855	0.905
TRAF2	P39429	RIPK1	Q60855	0.905
TRAF2	P39429	MAP3K14	Q9WUL6	0.542
TRAF2	P39429	MAP3K14	Q9WUL6	0.542
TRAF2	P39429	MAP3K5	O35099	0.673
TRAF2	P39429	MAP3K5	O35099	0.673
FOXF2	O54743	Irf2bpl	Q8K3X4	0.144
Ank3	G5E8K5	Dmd	P11531	0.273
Ank3	G5E8K5	CDH1	P09803	0.223
Ank3	G5E8K5	SPTBN1	Q62261	0.563
Ank3	G5E8K5	DAG1	Q62165	0.15
Taf10	Q8K0H5	TFIID	SIGNOR-C343	0.902
Myo1e	E9Q634	PTK2	P34152	0.1
RALGDS	Q03385	RIN1	Q921Q7	0.412
RALGDS	Q03385	RIT1	P70426	0.471
NFATC3	P97305	Tff1	Q08423	0.1
NFATC3	P97305	IL6	P08505	0.169
NFATC3	P97305	Ctsd	P18242	0.1
NFATC3	P97305	PTGS2	Q05769	0.165
NFATC3	P97305	Gpc6	Q9R087	0.1
Abr	Q5SSL4	RAC1	P63001	0.431
Nprl3	Q8VIJ8	GATOR1	SIGNOR-C192	0.954
BNIP2	O54940	CDC42	P60766	0.638
BNIP3	O55003	RHEB	Q921J2	0.69
NFX1	B1AY10	TERT	O70372	0.406
NFX1	B1AY10	TERT	O70372	0.406
NFX1	B1AY10	PABPC1	P29341	0.268
NFX1	B1AY10	SIN3A	Q60520	0.314
TIAM1	Q60610	RAC1	P63001	0.701
TIAM1	Q60610	RAC1	P63001	0.701
ARHGAP5	P97393	RHOA	Q9QUI0	0.814
PRDM2	A2A7B5	HMOX1	P14901	0.1
CDC16	Q8R349	APC-c	SIGNOR-C150	0.927
STK4	Q9JI11	FOXO3	Q9WVH4	0.61
STK4	Q9JI11	FOXO3	Q9WVH4	0.61
STK4	Q9JI11	LATS1	Q8BYR2	0.581
STK4	Q9JI11	TNNI3	P48787	0.1
STK4	Q9JI11	TNNI3	P48787	0.1
STK4	Q9JI11	TNNI3	P48787	0.1
STK4	Q9JI11	TNNI3	P48787	0.1
STK4	Q9JI11	FOXO4	Q9WVH3	0.329
STK4	Q9JI11	FOXO1	Q9R1E0	0.522
STK4	Q9JI11	FOXO	SIGNOR-PF27	0.61
STK4	Q9JI11	FOXO1	Q9R1E0	0.522
STK4	Q9JI11	STK4	Q9JI11	0.1
STK4	Q9JI11	STK4	Q9JI11	0.1
STK4	Q9JI11	MOB1B	Q8BPB0	0.838
STK4	Q9JI11	MOB1B	Q8BPB0	0.838
STK4	Q9JI11	MOB1B	Q8BPB0	0.838
STK4	Q9JI11	MOB1B	Q8BPB0	0.838
STK4	Q9JI11	SAV1	Q8VEB2	0.883
STK4	Q9JI11	MOB1A	Q921Y0	0.906
STK4	Q9JI11	MOB1A	Q921Y0	0.906
STK4	Q9JI11	MOB1A	Q921Y0	0.906
STK4	Q9JI11	MOB1A	Q921Y0	0.906
STK4	Q9JI11	LATS2	Q7TSJ6	0.603
STK4	Q9JI11	LATS2	Q7TSJ6	0.603
STK4	Q9JI11	LATS2	Q7TSJ6	0.603
STK4	Q9JI11	FOXO	SIGNOR-PF27	0.61
STK4	Q9JI11	FOXO	SIGNOR-PF27	0.61
STK4	Q9JI11	FOXO	SIGNOR-PF27	0.61
STK4	Q9JI11	FOXO	SIGNOR-PF27	0.61
Trim32	Q8CH72	Dtnbp1	Q91WZ8	0.452
NAIP1	Q9QWK5	CASP9	Q8C3Q9	0.388
NAIP1	Q9QWK5	NLRC4 inflammasome	SIGNOR-C223	0.436
TRAF1	P39428	TRAF2	P39429	0.648
Mrpl28	Q9D1B9	39S mitochondrial large ribosomal subunit	SIGNOR-C285	0.727
Chaf1a	Q9QWF0	Mgmt	P26187	0.1
Chaf1b	Q9D0N7	Mgmt	P26187	0.202
TRAF3	Q60803	IL10	P18893	0.208
